datetime,lat,lon
2021-04-27 00:12:17.768630,46.4990501901385,141.017274056999
2021-04-27 00:13:04.425944,45.1195671287547,144.702625567084
2021-04-27 00:13:51.036735,43.6148423036551,148.196472233221
2021-04-27 00:14:37.670691,42.0327382654484,151.434979107426
2021-04-27 00:15:24.306780,40.3159189911469,154.56651155885
2021-04-27 00:16:10.937581,38.5477879207057,157.467238257841
2021-04-27 00:16:57.541221,36.6612521059077,160.274323063311
2021-04-27 00:17:44.178101,34.7028968519871,162.934818348815
2021-04-27 00:18:30.778047,32.7245632947441,165.408466979383
2021-04-27 00:19:17.410664,30.6475266738054,167.814633340952
2021-04-27 00:20:04.054333,28.5208243323168,170.109836449265
2021-04-27 00:20:50.674974,26.3970640948133,172.259570188634
2021-04-27 00:21:37.308480,24.1892378890052,174.367749057094
2021-04-27 00:22:23.938171,21.9959787691495,176.354309577192
2021-04-27 00:23:10.569066,19.7262949551232,178.314956359579
2021-04-27 00:23:57.168894,17.4315887430726,-179.785332163343
2021-04-27 00:24:43.798122,15.1650502311591,-177.976930297555
2021-04-27 00:25:30.427934,12.8315101248087,-176.173336884943
2021-04-27 00:26:17.025516,10.483221932493,-174.40679041839
2021-04-27 00:27:03.692325,8.17350211087302,-172.706729013217
2021-04-27 00:27:50.289989,5.80472505859455,-170.992351531544
2021-04-27 00:28:36.886749,3.48029535737991,-169.330129374373
2021-04-27 00:29:23.518111,1.10175102786661,-167.641310460574
2021-04-27 00:30:10.114947,-1.27783575926877,-165.955619773414
2021-04-27 00:30:56.745438,-3.60532047603311,-164.302577390488
2021-04-27 00:31:43.341586,-5.97934652868874,-162.603882023149
2021-04-27 00:32:29.972989,-8.29636611498415,-160.925499638402
2021-04-27 00:33:16.604728,-10.6544402608332,-159.187790230524
2021-04-27 00:34:03.269118,-13.0002755614633,-157.420068971433
2021-04-27 00:34:49.866709,-15.2814656829201,-155.653891335094
2021-04-27 00:35:36.466577,-17.5940567453124,-153.805013768285
2021-04-27 00:36:23.094229,-19.8848577967051,-151.903407141084
2021-04-27 00:37:09.724593,-22.1022479748984,-149.983099455935
2021-04-27 00:37:56.321001,-24.3386602299303,-147.951787536394
2021-04-27 00:38:42.918220,-26.494686281073,-145.886871086138
2021-04-27 00:39:29.549922,-28.6592620215092,-143.688656664039
2021-04-27 00:40:16.179289,-30.7797318153801,-141.390557555518
2021-04-27 00:41:02.844058,-32.8066075270543,-139.033882744676
2021-04-27 00:41:49.441846,-34.8214689359785,-136.504731996911
2021-04-27 00:42:35.401504,-36.7315245071834,-133.899315356875
2021-04-27 00:43:22.035579,-38.6117833781341,-131.092490098593
2021-04-27 00:44:08.619061,-40.373613599066,-128.192432758141
2021-04-27 00:44:55.225330,-42.0838929672372,-125.062157061524
2021-04-27 00:45:41.874727,-43.6595629672457,-121.825562640287
2021-04-27 00:46:28.477794,-45.1577581314989,-118.334475370575
2021-04-27 00:47:15.084140,-46.5308481358195,-114.652880464533
2021-04-27 00:48:01.711523,-47.7413386567587,-110.864925852736
2021-04-27 00:48:48.342728,-48.8292067915288,-106.811003674658
2021-04-27 00:49:34.978757,-49.7361295548068,-102.674654773677
2021-04-27 00:50:21.586576,-50.4899433825553,-98.294358836299
2021-04-27 00:51:08.227956,-51.0587410460664,-93.7842483235562
2021-04-27 00:51:54.894030,-51.4282132990291,-89.2760366034027
2021-04-27 00:52:41.510173,-51.6086839723737,-84.6115501550392
2021-04-27 00:53:28.119014,-51.5871722915828,-79.9300155545074
2021-04-27 00:54:14.760428,-51.3708465401901,-75.3731045855717
2021-04-27 00:55:01.377640,-50.9537337177666,-70.7835521425924
2021-04-27 00:55:47.980280,-50.3596882599885,-66.3924781667046
2021-04-27 00:56:34.556785,-49.5715663920391,-62.0400357407624
2021-04-27 00:57:21.163731,-48.6109856626414,-57.8475085338576
2021-04-27 00:58:07.805689,-47.5153959990147,-53.9156076853022
2021-04-27 00:58:54.414942,-46.2496390024063,-50.0833729571157
2021-04-27 00:59:41.056939,-44.84873988288,-46.442205940771
2021-04-27 01:00:27.695163,-43.3589663418735,-43.0624097733953
2021-04-27 01:01:14.332871,-41.7274595454,-39.7919444440639
2021-04-27 01:02:00.967675,-40.0345527633828,-36.7622535282593
2021-04-27 01:02:47.573701,-38.2170496705261,-33.8317062233519
2021-04-27 01:03:34.176605,-36.3204529870808,-31.0567335522646
2021-04-27 01:04:20.815780,-34.3961325657943,-28.4800054142895
2021-04-27 01:05:07.421062,-32.3682937974471,-25.9776443759976
2021-04-27 01:05:54.029823,-30.2852705157008,-23.5952419500986
2021-04-27 01:06:40.634243,-28.1994024601652,-21.3685849127488
2021-04-27 01:07:27.307379,-26.0257562285112,-19.1899936241357
2021-04-27 01:08:13.914475,-23.8618839975594,-17.1421441090677
2021-04-27 01:09:00.554501,-21.6184110344731,-15.1262376812005
2021-04-27 01:09:47.163008,-19.346346899521,-13.1783095648215
2021-04-27 01:10:33.769217,-17.0987621625543,-11.3291562291247
2021-04-27 01:11:20.411095,-14.78151803379,-9.49018414415941
2021-04-27 01:12:07.061840,-12.4466016443218,-7.69428323210023
2021-04-27 01:12:53.660089,-10.1472790781659,-5.97106748564104
2021-04-27 01:13:40.301754,-7.78649078589541,-4.23853877624853
2021-04-27 01:14:26.941543,-5.46738457680856,-2.56379560166844
2021-04-27 01:15:13.583308,-3.09179248984229,-0.867398859789564
2021-04-27 01:16:00.190410,-0.712679973967407,0.820643280073918
2021-04-27 01:16:46.831020,1.61672829482194,2.47095604193163
2021-04-27 01:17:33.473863,3.99517059838451,4.16168719525484
