datetime,lat,lon
2021-04-27 00:11:31.125360,47.71556493792568,137.2245792939175
2021-04-27 00:12:17.768630,46.49905019013846,141.01727405699884
2021-04-27 00:13:04.425944,45.11956712875474,144.70262556708428
2021-04-27 00:13:51.036735,43.61484230365508,148.1964722332209
2021-04-27 00:14:37.670691,42.03273826544835,151.43497910742576
2021-04-27 00:15:24.306780,40.315918991146866,154.5665115588499
2021-04-27 00:16:10.937581,38.547787920705666,157.46723825784093
2021-04-27 00:16:57.541221,36.661252105907714,160.27432306331113
2021-04-27 00:17:44.178101,34.70289685198707,162.9348183488145
2021-04-27 00:18:30.778047,32.724563294744144,165.40846697938298
2021-04-27 00:19:17.410664,30.64752667380536,167.81463334095176
2021-04-27 00:20:04.054333,28.520824332316828,170.10983644926452
2021-04-27 00:20:50.674974,26.39706409481328,172.2595701886343
2021-04-27 00:21:37.308480,24.189237889005216,174.3677490570938
2021-04-27 00:22:23.938171,21.9959787691495,176.354309577192
2021-04-27 00:23:10.569066,19.726294955123212,178.31495635957916
2021-04-27 00:23:57.168894,17.431588743072588,-179.78533216334284
2021-04-27 00:24:43.798122,15.165050231159093,-177.97693029755524
2021-04-27 00:25:30.427934,12.831510124808712,-176.17333688494332
2021-04-27 00:26:17.025516,10.483221932492983,-174.40679041838956
2021-04-27 00:27:03.692325,8.173502110873022,-172.70672901321672
2021-04-27 00:27:50.289989,5.8047250585945465,-170.9923515315435
2021-04-27 00:28:36.886749,3.4802953573799056,-169.33012937437252
2021-04-27 00:29:23.518111,1.1017510278666056,-167.64131046057352
2021-04-27 00:30:10.114947,-1.2778357592687675,-165.95561977341438
2021-04-27 00:30:56.745438,-3.605320476033108,-164.3025773904879
2021-04-27 00:31:43.341586,-5.979346528688739,-162.60388202314903
2021-04-27 00:32:29.972989,-8.296366114984151,-160.9254996384018
2021-04-27 00:33:16.604728,-10.654440260833216,-159.18779023052383
2021-04-27 00:34:03.269118,-13.000275561463265,-157.42006897143284
2021-04-27 00:34:49.866709,-15.281465682920082,-155.65389133509427
2021-04-27 00:35:36.466577,-17.594056745312386,-153.80501376828516
2021-04-27 00:36:23.094229,-19.88485779670506,-151.9034071410836
2021-04-27 00:37:09.724593,-22.102247974898432,-149.9830994559345
2021-04-27 00:37:56.321001,-24.338660229930294,-147.95178753639436
2021-04-27 00:38:42.918220,-26.49468628107298,-145.88687108613777
2021-04-27 00:39:29.549922,-28.65926202150923,-143.6886566640392
2021-04-27 00:40:16.179289,-30.779731815380124,-141.39055755551837
2021-04-27 00:41:02.844058,-32.80660752705433,-139.0338827446755
2021-04-27 00:41:49.441846,-34.821468935978494,-136.5047319969115
2021-04-27 00:42:35.401504,-36.73152450718339,-133.89931535687512
2021-04-27 00:43:22.035579,-38.6117833781341,-131.0924900985934
2021-04-27 00:44:08.619061,-40.37361359906597,-128.192432758141
2021-04-27 00:44:55.225330,-42.08389296723716,-125.06215706152415
2021-04-27 00:45:41.874727,-43.65956296724574,-121.82556264028689
2021-04-27 00:46:28.477794,-45.157758131498866,-118.33447537057495
2021-04-27 00:47:15.084140,-46.530848135819454,-114.65288046453301
2021-04-27 00:48:01.711523,-47.74133865675872,-110.86492585273565
2021-04-27 00:48:48.342728,-48.82920679152875,-106.81100367465798
2021-04-27 00:49:34.978757,-49.736129554806794,-102.6746547736766
2021-04-27 00:50:21.586576,-50.48994338255525,-98.29435883629904
2021-04-27 00:51:08.227956,-51.0587410460664,-93.78424832355621
2021-04-27 00:51:54.894030,-51.428213299029075,-89.27603660340266
2021-04-27 00:52:41.510173,-51.60868397237373,-84.61155015503921
2021-04-27 00:53:28.119014,-51.58717229158278,-79.93001555450742
2021-04-27 00:54:14.760428,-51.370846540190136,-75.37310458557167
2021-04-27 00:55:01.377640,-50.953733717766625,-70.78355214259243
2021-04-27 00:55:47.980280,-50.35968825998852,-66.39247816670459
2021-04-27 00:56:34.556785,-49.571566392039095,-62.04003574076235
2021-04-27 00:57:21.163731,-48.610985662641426,-57.847508533857614
2021-04-27 00:58:07.805689,-47.5153959990147,-53.91560768530222
2021-04-27 00:58:54.414942,-46.249639002406276,-50.08337295711566
2021-04-27 00:59:41.056939,-44.84873988287998,-46.44220594077103
2021-04-27 01:00:27.695163,-43.358966341873476,-43.06240977339528
2021-04-27 01:01:14.332871,-41.727459545400045,-39.79194444406392
2021-04-27 01:02:00.967675,-40.03455276338278,-36.76225352825927
2021-04-27 01:02:47.573701,-38.21704967052614,-33.831706223351944
2021-04-27 01:03:34.176605,-36.320452987080756,-31.05673355226458
2021-04-27 01:04:20.815780,-34.39613256579429,-28.48000541428954
2021-04-27 01:05:07.421062,-32.36829379744711,-25.977644375997603
2021-04-27 01:05:54.029823,-30.28527051570081,-23.595241950098597
2021-04-27 01:06:40.634243,-28.1994024601652,-21.36858491274881
2021-04-27 01:07:27.307379,-26.02575622851117,-19.18999362413569
2021-04-27 01:08:13.914475,-23.86188399755943,-17.142144109067665
2021-04-27 01:09:00.554501,-21.61841103447307,-15.126237681200495
2021-04-27 01:09:47.163008,-19.346346899521038,-13.178309564821525
2021-04-27 01:10:33.769217,-17.09876216255433,-11.329156229124695
2021-04-27 01:11:20.411095,-14.781518033789952,-9.490184144159414
2021-04-27 01:12:07.061840,-12.446601644321815,-7.694283232100234
2021-04-27 01:12:53.660089,-10.147279078165905,-5.971067485641037
2021-04-27 01:13:40.301754,-7.786490785895406,-4.238538776248528
2021-04-27 01:14:26.941543,-5.467384576808556,-2.563795601668442
2021-04-27 01:15:13.583308,-3.091792489842288,-0.8673988597895643
